FirstName,LastName,Games,Goals,Assists,YellowCards,RedCards,PlayedMinutes,StartingXI,SubstitutedIn,OnTheBench
Xhevdet,Gela,5,1,0,0,0,405,4,1,1
Kevin,Larsson,5,1,0,0,0,304,3,2,2
Joel,Mattsson,4,1,0,0,0,234,3,1,2
Hussein,Mohamed,3,0,0,0,0,189,2,1,1
Atte,Otronen,0,0,0,0,0,0,0,0,5
Tino,Palmasto,5,0,0,1,0,385,4,1,1
Hannu,Patronen,1,0,0,0,0,65,1,0,0
Nikolas,Saira,4,0,0,1,0,315,4,0,0
Riku,Selander,3,0,0,1,0,225,3,0,0
Hassan,Sesay,3,0,0,0,0,215,3,0,1
Mauro,Severino,5,0,0,0,0,190,1,4,4
Jaako,Lepola,1,0,0,0,0,9,0,1,3
Tero,Mäntylä,1,0,0,0,0,45,1,0,0
Tuukka,Andberg,4,0,0,0,0,270,3,1,1
Jani,Bäckman,5,0,0,3,0,418,5,0,0
Fernando,Cozar Torres,5,0,0,0,0,234,3,2,2
Silver,Grauberg,4,0,0,1,0,271,2,2,3
Samuel,Haglund,3,0,0,0,0,72,0,3,3
Jukka,Halme,5,0,0,1,0,328,5,0,0
Matias,Hänninen,3,0,0,0,0,225,2,1,2
Daniel,Kollar,5,0,0,1,0,450,5,0,0
Njazi,Kuqi,3,0,0,0,0,101,1,2,2
